"","Study.ID","Case.ID","Low.LUI","High.LUI","Land.use...land.cover","Product","ES.From.BD","Fertilization","Irrigation","Pesticides","Grazing","Mowing","Clear.Cut","Selective.Logging","Partial.Logging","Additional.Treatment","Date.Start","Date.End","Latitude","Longitude","Species.Group","Species.Subgroup","Trophic.Level","Richness.Mean.Low","Richness.SD.Low","Richness.N.Low","Richness.Plot.Size","Richness.Mean.High","Richness.SD.High","Richness.N.High","Yield.Mean.Low","Yield.SD.Low","Yield.N.Low","Yield.Mean.High","Yield.SD.High","Yield.N.High","LUI.range","Study.Case","Richness.Log.RR","Richness.Log.RR.Var","Yield.Log.RR","Yield.Log.RR.Var","Richness.SMD","Richness.SMD.Var","Yield.SMD","Yield.SMD.Var"
"1","2318-Guretzky2005",1,"medium","medium","pasture","animal_feed","linked","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","yes_yes","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA",NA,1996,2001,41.866667,-93.166667,"non-woody plants","vascular plants","primary producers",3.6,1.08,300,"0.2",4.1,1.15,300,3429.12,660.86,1,3684.48,937.19,1,"0","2318-Guretzky2005_1",0.130053128248198,0.000562244695617688,0.0718257345712556,0.101840789759213,0.447647356981886,0.00683997424657531,NA,NA
"2","2457-Holbech2005",1,"low","low","natural forest","timber","independent","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","yes_yes","no/NA_no/NA",NA,1993,1995,5.310389,-2.212579,"birds","birds sampled by transect walks","multiple",87.36,5.38,28,"145.6",92.43,4.17,21,0.2,0.1,6,2.15,1.06,4,"0","2457-Holbech2005_1",0.0564140892800915,0.000232373718446459,2.37490575457367,0.102434649360014,1.03644489602452,0.0923123790716904,2.33810890991902,1.27077729438298
"3","2457-Holbech2005",2,"low","low","natural forest","timber","independent","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","yes_yes","no/NA_no/NA",NA,1993,1995,5.310389,-2.212579,"birds","birds sampled by mist nets","multiple",38.96,4.71,28,"38.2",42.19,3.92,21,0.2,0.1,6,2.15,1.06,4,"0","2457-Holbech2005_2",0.0796477473619129,0.000933057456069278,2.37490575457367,0.102434649360014,0.733465236350845,0.0875325673472655,2.33810890991902,1.27077729438298
"4","2997-Kern2006",1,"low","medium","natural forest","timber","independent","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","yes_yes","no/NA_no/NA","uneven - there are more, also lighter and heavier treatments but then harvest data is without sd",1951,1991,45.757365,-88.965392,"non-woody plants","spring ephemerals","primary producers",3.67,0.89,5,"150",3.67,4.74,5,197.1,0,1,230,0,1,"1","2997-Kern2006_1",0,0.3453838101107,0.154368094764521,0,0,0.407436654315252,NA,NA
"5","2997-Kern2006",2,"low","medium","natural forest","timber","independent","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","yes_yes","no/NA_no/NA","uneven",1951,1991,45.757365,-88.965392,"non-woody plants","summer flowering plants","primary producers",4.19,3.48,40,"1",4.18,15.12,40,197.1,0,1,230,0,1,"1","2997-Kern2006_2",-0.00238948739738158,0.344353183844093,0.154368094764521,0,-0.000902698320424675,0.0502969414367948,NA,NA
"6","3062-Wang2006",1,"low","medium","grassland","animal_feed","independent","no/NA_yes","no/NA_no/NA","no/NA_no/NA","yes_yes","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA",NA,1996,2002,27.15,-81.183333,"non-arthropod invertebrates","nematodes","primary consumers",28,4.38,10,"100",21,3.59,10,17.74,1.12,10,29.4,153.58,10,"1","3062-Wang2006_1",-0.287682072451781,0.00536946145124717,0.505172697463202,2.72921718632134,-1.67398600788506,0.277933956226644,0.10281879968758,0.204335603111484
"7","4788-Mosquera-Losada2009",1,"medium","medium","plantation forest","animal_feed","linked","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA",NA,1998,2003,43.149118,-7.329973,"non-woody plants","non-woody plants","primary producers",7.04,2.52884593,3,"150",4.02,1.43,3,1.93,15,3,0.95,0,3,"0","4788-Mosquera-Losada2009_1",-0.560326267539021,0.085190100662482,-0.708813297304345,20.1347687186233,-1.17298312273602,0.775196879503698,-0.0737207722502402,0.637484740054427
"8","4788-Mosquera-Losada2009",2,"high","high","plantation forest","animal_feed","linked","yes_yes","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA",NA,1998,2003,43.149118,-7.329973,"non-woody plants","non-woody plants","primary producers",2.72,3.92,3,"150",1.92,2.9,3,0.81,85.19,3,0.77,88.45,3,"0","4788-Mosquera-Losada2009_2",-0.348306694268216,1.45278270877387,-0.0506437328187549,8085.4909687239,-0.18512795215164,0.639580539232072,-0.000367539266719052,0.636619783132459
"9","4788-Mosquera-Losada2009",3,"medium","medium","plantation forest","timber","independent","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","yes_yes","no/NA_no/NA","no/NA_no/NA",NA,1998,2003,43.149118,-7.329973,"woody plants","non-woody plants","primary producers",7.04,1.65,3,"150",4.02,2.16,3,48.21,60.87,3,107.09,85.19,3,"0","4788-Mosquera-Losada2009_3",-0.560326267539021,0.114545788576938,0.798103133995253,0.742326809031504,-1.25370575578505,0.770349694725482,0.63455343020379,0.672026604719128
"10","4788-Mosquera-Losada2009",4,"high","high","plantation forest","timber","independent","yes_yes","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","no/NA_no/NA","yes_yes","no/NA_no/NA","no/NA_no/NA",NA,2000,2005,45.149118,-5.329973,"woody plants","non-woody plants","primary producers",2.72,3.5,3,"150",1.92,3.65,3,77.39,97.44641975,3,107.4,138.11,3,"0","4788-Mosquera-Losada2009_4",-0.348306694268216,1.75657427556909,0.327702608792397,1.07970917761445,-0.178508315867702,0.639159986122247,0.200338579743056,0.640172657786577
